Algo,Overall,Bucket 0(0.397),Bucket 1(0.19),Bucket 2(0.048),Bucket 3(0.095),Bucket 4(0.032),Bucket 5(0.0),Bucket 6(0.048),Bucket 7(0.0),Bucket 8(0.032),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.016),Bucket 12(0.0),Bucket 13(0.0),Bucket 14(0.0),Bucket 15(0.016)
lr,1.0,1.0,1.0,0.71,0.86,0.29,0.14,0.57,0.0,0.14,0.43,0.0,0.86,0.0,0.86,0.57,0.29
svm,0.98,1.0,1.0,1.0,1.0,0.0,0.0,0.57,0.14,0.71,0.0,0.0,0.57,0.0,0.43,0.57,0.29
knn,0.99,1.0,1.0,1.0,1.0,0.43,0.0,0.43,0.0,0.14,0.0,0.0,0.86,0.14,0.29,0.43,0.29
mlp_sklearn,0.98,1.0,1.0,1.0,0.86,0.14,0.0,0.43,0.14,0.14,0.0,0.0,0.14,0.0,0.43,0.29,0.43
rand_for,1.0,1.0,1.0,0.71,1.0,0.14,0.14,0.43,0.14,0.14,0.14,0.0,0.57,0.0,0.57,0.29,0.71
dec_tree,1.0,1.0,1.0,1.0,0.86,0.29,0.29,0.43,0.14,0.0,0.0,0.0,0.14,0.0,0.29,0.14,0.43
ber_nb,1.0,1.0,1.0,0.71,1.0,0.29,0.14,0.29,0.14,0.29,0.0,0.0,0.29,0.0,0.57,0.43,0.0
xtra_tree,1.0,1.0,1.0,0.86,0.86,0.57,0.43,0.43,0.14,0.29,0.14,0.14,0.43,0.0,0.14,0.29,0.14
gau_nb,0.96,1.0,1.0,1.0,0.93,0.14,0.0,0.43,0.0,0.14,0.0,0.0,0.57,0.0,0.29,0.71,0.0
label_prop,0.99,1.0,1.0,0.86,1.0,0.29,0.0,0.14,0.0,0.43,0.29,0.0,0.29,0.0,0.57,0.14,0.43
label_spread,0.98,1.0,1.0,1.0,1.0,0.29,0.29,0.29,0.14,0.29,0.14,0.0,0.57,0.0,0.14,0.29,0.57
lda,0.98,1.0,1.0,0.69,0.96,0.29,0.14,0.57,0.14,0.0,0.29,0.0,0.29,0.0,0.0,0.43,0.14
ridge_cv,0.98,1.0,1.0,0.71,1.0,0.43,0.14,0.57,0.14,0.14,0.0,0.0,0.14,0.0,0.43,0.57,0.29
n_cent,0.97,1.0,1.0,1.0,0.86,0.29,0.0,0.57,0.29,0.29,0.0,0.0,0.29,0.0,0.29,0.43,0.43
ridge,0.99,1.0,1.0,0.86,1.0,0.14,0.0,0.43,0.0,0.29,0.0,0.0,0.71,0.0,0.71,0.43,0.29
